Title,Description,Genres,Poster_URL
Valerie and Her Week of Wonders,"Valerie, a Czechoslovakian teenager living with her grandmother, is blossoming into womanhood, but that transformation proves secondary to the effects she experiences when she puts on a pair of magic earrings. Now seeing the world around her in a different light, Valerie must endure her sexual awakening while attempting to discern reality from fantasy as she encounters lecherous priest Gracian, a vampire-like stranger and otherworldly carnival folk.","Fantasy, Adventure, Drama",https://image.tmdb.org/t/p/w500/x9fZJORCZS0DshbxLSdnzyvU94V.jpg
The Hole in the Ground,"Trying to escape her broken past, Sarah O’Neill is building a new life on the fringes of a backwood rural town with her young son Chris. A terrifying encounter with a mysterious neighbour shatters her fragile security, throwing Sarah into a spiralling nightmare of paranoia and mistrust, as she tries to uncover if the disturbing changes in her little boy are connected to an ominous sinkhole buried deep in the forest that borders their home.",Horror,https://image.tmdb.org/t/p/w500/7DMRJzH9AwpSN5D19cExAB9vDZW.jpg
The Mad Adventures of Rabbi Jacob,"In this riot of frantic disguises and mistaken identities, Victor Pivert, a blustering, bigoted French factory owner, finds himself taken hostage by Slimane, an Arab rebel leader. The two dress up as rabbis as they try to elude not only assasins from Slimane's country, but also the police, who think Pivert is a murderer. Pivert ends up posing as Rabbi Jacob, a beloved figure who's returned to France for his first visit after 30 years in the United States. Adding to the confusion are Pivert's dentist-wife, who thinks her husband is leaving her for another woman, their daughter, who's about to get married, and a Parisian neighborhood filled with people eager to celebrate the return of Rabbi Jacob.",Comedy,https://image.tmdb.org/t/p/w500/oYuCFxS2BGCHNGuv9No0GoP2DZf.jpg
Mindhunters,Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst.  Based very loosely on Agatha Christie's And Then There Were None.,"Mystery, Thriller, Crime",https://image.tmdb.org/t/p/w500/uTTGRvnqCI9ZC7WkyP9u7XRiOaA.jpg
Jake's Closet,Jake's Closet takes you back through childhood in a suspenseful and deeply moving story that dives deep into the mind of a little boy under the stress of a fractured family.,"Drama, Thriller, Horror",https://image.tmdb.org/t/p/w500/dYSMhHOcRhrVsyFSjmTI8tIqeWQ.jpg
The Delta Force,"A 707 aircraft jetliner, en route from Athens to Rome and then to New York City, is hijacked by Lebanese terrorists, who demand that the pilot take them to Beirut. What the terrorists don't realize is that an elite team of commandos have been called in to eliminate all terrorists on the jetliner.","Action, Thriller, Adventure, War",https://image.tmdb.org/t/p/w500/lW94s7xxkdOzYcueaqGJwcVVvjt.jpg
All Saints,"Michael Spurlock decides to trade in his corporate sales career to become a pastor. Unfortunately, his first assignment is to close a country church and sell the prime piece of land where it sits. He soon has a change of heart when the church starts to welcome refugees from Burma. Spurlock now finds himself working with the refugees to turn the land into a working farm to pay the church's bills.","Drama, Comedy",https://image.tmdb.org/t/p/w500/sIE5BafMU0gPYOqBSiYzTxmHqGM.jpg
The Delta Force,"A 707 aircraft jetliner, en route from Athens to Rome and then to New York City, is hijacked by Lebanese terrorists, who demand that the pilot take them to Beirut. What the terrorists don't realize is that an elite team of commandos have been called in to eliminate all terrorists on the jetliner.","Action, Thriller, Adventure, War",https://image.tmdb.org/t/p/w500/lW94s7xxkdOzYcueaqGJwcVVvjt.jpg
All Saints,"Michael Spurlock decides to trade in his corporate sales career to become a pastor. Unfortunately, his first assignment is to close a country church and sell the prime piece of land where it sits. He soon has a change of heart when the church starts to welcome refugees from Burma. Spurlock now finds himself working with the refugees to turn the land into a working farm to pay the church's bills.","Drama, Comedy",https://image.tmdb.org/t/p/w500/sIE5BafMU0gPYOqBSiYzTxmHqGM.jpg
Askari,"Set on a game reserve in Africa. Askari is an angry old elephant, the only survivor of the ""A' family group which has been anhilitated in a government cull and he has turned rogue. Involved in the culling are Patrick Khumalo, a corrupt government official and Ribshaw, an unscrupulous white poacher accompanied by Ndhlovu, an old African tracker who is being blackmailed by Ribshaw. Anxious to save the elephants are game warden Joss Mckinley and his conservationist wife Paula who is studying and monitoring various family groups of elephants. When Paula's sixteen year old niece Emma Crawshay is orphaned she is sent to live with her aunt and uncle at Morena Game Park. She feels alienated but is gradually drawn into her aunt's passion for her work and her favourite elephant family the 'O' group, in particular a calf named Ollie.","Drama, Family",https://image.tmdb.org/t/p/w500/rrVeQywGQPhuDeCgzNwPtReI2ld.jpg
